rms_mean,rms_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,perceptr_mean,perceptr_var,chroma_stft_mean,chroma_stft_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,tonnetz_mean,tonnetz_var,harmonic_ratio,pitch_std,mfcc_delta_mean,mfcc_delta_var,energy_score,tempo_var,beat_count,filename
0.18440565,0.0040253857,0.1193707823384288,0.003103540028655211,123.046875,2991.7413879755823,300492.6408363926,2938.166527481625,44328.79854661705,6712.7927419940015,806245.6789003292,0.04073478,0.0013075832,0.41479537,0.082641445,-45.058075,1285.4525,63.083614,260.3936,3.7867737,171.11896,19.779348,209.2054,6.1756797,99.16684,5.4729233,107.554726,2.7139916,67.59187,10.662584,64.0438,3.4297638,58.304337,8.640287,67.776,-0.9977554,51.37873,3.9933372,41.79212,-0.1491956,51.448032,5.5651884,56.361916,-0.92115223,54.769688,5.1102557,55.344875,1.9865813,51.803238,6.262805,66.417755,-2.5259805,64.6395,1.3635781,56.22678,0.005203824388938039,0.004812576783993002,0.026063368514717106,991.4068,-0.005713711,4.840347,551.6940292494055,0.05326530201432887,62,Love Me - Justin Bieber.mp3
0.28975782,0.004595319,0.107779393624226,0.0009922326793163692,123.046875,2268.867949652978,230105.4092572384,2339.6556772930694,127364.90595172203,4661.880143581899,1440358.9975147299,0.020480022,0.00039972516,0.34281427,0.09126812,2.152737,2189.0667,95.880775,550.4312,-18.800272,359.75287,13.880182,345.49332,-5.668301,173.97292,2.9390073,170.8754,-2.1119637,132.23871,1.8947102,86.345566,-2.1681309,71.73175,5.524385,104.74299,-4.8524394,99.45077,0.7625195,57.251995,-6.1492295,93.08331,0.3409495,83.076164,-6.8158135,84.99256,-3.3538005,85.699844,-5.6793113,91.1344,2.0890324,61.268703,0.4375586,75.15908,5.290082,105.138824,0.014368177116170899,0.017834557218159967,0.6917818857579918,899.119,0.009309894,7.0631633,657.4222263844333,0.046961550768581856,60,"Yeh Ek Zindagi (From Monica, O My Darling) - Achint, Mikey McCleary, Varun Grover & Anupama Chakraborty Shrivastava.mp3"
0.2775061,0.0073902076,0.1289856145994582,0.0032260967605389056,143.5546875,2741.2524962705174,342802.1880142513,2589.124755277574,74438.08597894828,5728.157029284781,1233723.2209632716,0.04551098,0.0019511826,0.44010237,0.08033003,11.076435,2651.9382,72.046776,534.20276,-17.278553,316.14185,16.113152,315.9723,-1.5652303,187.75296,7.5158496,105.92132,-5.6804805,151.17654,7.089916,108.76468,-1.6652845,65.30735,5.5301795,70.0628,-1.6422232,77.43027,4.9121513,58.968502,-1.3586371,58.388103,2.7263582,57.09069,-3.4104922,57.23758,4.0159445,54.758152,-2.217462,51.352924,4.599526,43.437973,0.9658487,39.805305,3.7830598,42.654137,0.01359636194159673,0.00798725373420115,-0.2052963648177462,1005.7561,0.015248924,8.60493,760.7143251351326,0.028444044901280333,70,"The Jawaani Song - Vishal & Shekhar, Vishal Dadlani, Payal Dev & Kishore Kumar.mp3"
0.27196383,0.031452704,0.12916664147155574,0.013641554056100699,151.99908088235293,3099.8278827738104,1399906.9665508226,2901.6388402069847,192911.3931406144,6587.851830827932,3702323.517407594,0.04924003,0.0043439674,0.50719666,0.08325966,-54.86081,3792.24,61.541367,1311.6726,4.6400356,730.8922,9.660284,509.2724,4.138748,439.78986,3.0533073,297.79697,3.2698812,191.70126,5.1742997,191.13803,-3.132064,147.80011,4.311938,163.29143,-5.1928573,168.51291,4.9352036,122.13755,-5.2520285,114.61467,0.3096726,90.406204,-2.777219,72.18363,-0.0011656675,79.59608,-4.757188,56.885727,0.7642543,58.473515,-0.7470419,48.92812,0.29496178,49.18736,-0.01267716714213036,0.023596379036152092,-0.19359774580761394,1106.4606,-0.013614052,12.148401,843.0410781031138,0.029870840152786547,70,INDUSTRY BABY - Lil Nas X & Jack Harlow.mp3
0.20089883,0.008380716,0.08085514222136223,0.0035494813651326673,117.45383522727273,2101.928288383193,828333.3430715216,2528.7782382583737,187291.49395405652,4676.34672277114,4067149.1547372644,0.018715044,0.0015218423,0.39454442,0.09461744,-109.15598,6389.3286,93.120964,1035.0238,15.734935,474.96286,26.665895,374.24704,18.552666,266.6887,6.9668393,208.3857,-3.438651,209.33247,12.918918,164.94522,-6.2800975,149.33296,5.0009284,142.00513,1.3817301,96.92715,1.821108,90.647285,-2.4544628,81.590645,-0.20977391,79.62246,-5.6289344,69.02923,-1.4723486,72.12866,-7.0257506,58.847046,2.5416517,68.30338,-1.9068067,91.87452,4.226785,73.53827,-0.013738646045100337,0.008328427755516923,0.988919173397039,959.04944,-0.009320255,14.237813,422.27492572940497,0.02943641165080252,40,"Chukkalettu Kondale (From Vinaro Bhagyamu Vishnu Katha) - Kalyan Chakravarthy, Chaitan Bharadwaj & Anurag Kulkarni.mp3"
0.3008691,0.007645985,0.15324397131385448,0.004598491778306669,143.5546875,3037.793051118358,369914.9793136225,2753.3019834261067,56779.7259033168,6332.736706807517,1003118.3387329398,0.04166029,0.0013966309,0.40594137,0.08662912,2.3998175,2721.7197,56.56045,414.7167,-1.8860826,286.00513,28.480986,153.20065,3.5029883,128.47385,14.404589,116.73783,4.5839176,108.810036,12.428967,79.53357,0.4797897,75.39267,8.210029,69.59224,-1.472638,69.93343,4.5628657,48.782227,-4.7598896,56.804005,2.110854,66.095055,-3.7065198,59.174934,1.0247189,59.05933,-4.1237454,51.071087,0.64011717,54.481873,-4.109217,62.87528,-0.42647126,84.982704,-0.005170142478251417,0.007027065521528082,-0.0797814596999549,1120.3535,-0.0015162606,8.991532,913.9780832892947,0.03223633092368665,71,Giccha Gili Gili - Mudakanna Moraba.mp3
0.37404016,0.008134121,0.09418348188370743,0.002328655064065424,123.046875,2589.911275473136,466358.67704717146,2772.461002898266,113664.39051864721,5832.9480622944075,1843359.8387875336,0.02319961,0.0007265795,0.4043008,0.089765884,-1.1379497,3264.7104,78.4585,434.25967,12.354151,385.771,24.713453,220.09308,3.7070472,119.08715,10.189591,172.46648,5.2845774,123.41938,6.7507224,90.851814,1.7324988,116.77296,4.6889944,79.23574,-0.3444819,91.29231,5.303535,52.565308,-1.9445859,87.25512,7.9872184,87.36911,0.2989707,67.41313,10.3363,102.0057,6.904315,85.085106,9.265107,89.30153,-0.054097887,65.30712,3.256064,68.02202,-0.00046122256008112857,0.009315631992241016,0.10057475139854483,964.66425,-0.0007866663,10.087423,968.7308190654834,0.029873881582880662,91,"Hass Hass - Diljit Dosanjh, Sia & Greg Kurstin.mp3"
0.27045727,0.019449757,0.08877610717395511,0.004531306387408532,92.28515625,2542.5216671673415,698082.6189034506,2841.8759207916864,179816.25095076245,6068.288305890818,3541058.9249255694,0.016337948,0.0005658321,0.3368439,0.093823366,-61.085526,4455.3413,84.02173,766.4598,4.5760674,419.70306,-2.5507832,543.58234,3.2943878,270.58377,-3.5916495,232.09094,-3.6192234,260.0336,0.8296136,197.43893,-9.115083,125.46143,6.167881,189.04593,-4.812704,117.25738,3.4758947,149.09163,-2.3122883,143.0293,3.123393,76.85601,-3.3419635,75.241455,-0.6334298,71.34441,-5.046644,70.071915,1.2475163,89.86368,-5.2536244,96.164894,1.6862522,96.28415,-0.02646185596315055,0.03454760339821323,0.9746761903936639,757.1358,-0.015994258,7.715937,687.6434633258078,0.03324620308509155,47,Pasoori - Shae Gill & Ali Sethi.mp3
0.31940874,0.0075002527,0.09982063600522446,0.0033523045718560768,129.19921875,2431.9803450064624,706020.7716949261,2497.761265030705,198540.7053299281,5165.468765117066,2759279.396595748,0.021347713,0.00079181,0.338463,0.087881215,-12.721685,2969.1504,84.69096,1206.1088,-5.38819,637.40643,20.257889,309.6836,-2.326014,219.47432,7.069293,192.55945,-3.4701521,184.17566,6.3669825,131.69826,-3.9204607,106.90358,0.7200238,78.34906,-7.808063,93.73588,1.5878403,83.53733,1.4506205,74.79227,-4.694563,80.53303,1.2058586,58.565903,4.0412545,60.37078,-6.8004546,53.267265,1.6702446,48.268417,-2.5051167,59.49393,-2.8283072,95.21937,0.003333198178539038,0.04100152666875103,0.19075373170121868,1002.35114,0.004633531,12.0791855,776.7957888261681,0.03280773625929196,64,Sunroof - Nicky Youre & Dazy.mp3
0.2202726,0.010672764,0.06208579237616099,0.00312507452725882,117.45383522727273,2033.428013479637,739169.6534288006,2624.0155198932825,203466.7394553111,4569.380702913361,4269115.715534889,0.00877664,0.00049994834,0.29298222,0.090625204,-115.328125,3326.99,105.596146,1087.4565,16.073622,378.22864,23.556065,218.10008,24.469406,276.51117,-15.054577,216.71144,-8.7715025,161.43933,-6.172388,298.85672,2.5958111,190.66129,-11.853931,163.39275,-4.846654,135.6428,3.3702857,135.98402,-15.407255,118.767975,5.9134164,94.7937,-1.4690982,71.960075,-2.889876,105.144165,-2.4567337,89.119125,10.01376,89.5291,-1.4915661,91.922646,4.027795,62.261303,-0.026076520765040478,0.046783627482654334,-1.0289952049860542,889.9017,-0.0038354544,12.130257,447.90847676532394,0.03836772656017444,46,Hey Nalle - Arfaz Ullal.mp3
